OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FirstFlrSF,FullBath,TotRmsAbvGrd,YearBuilt
6,571,1,542,1519,491,0,3,1948
4,804,3,570,1795,2564,1,2,1943
8,899,2,109,781,1002,0,11,1924
3,646,1,349,1964,1503,1,4,1949
3,2646,0,516,72,629,1,9,1943
1,2480,1,1171,265,706,3,7,1954
6,1020,3,952,1302,2734,2,9,1939
8,2238,2,220,1989,1812,0,3,1996
2,2143,2,1139,1351,546,0,4,2017
1,2540,1,618,285,2377,3,7,1925
7,734,1,246,272,809,3,5,2003
4,2028,0,1164,1772,808,1,5,1948
4,1762,1,1136,215,2598,0,7,1938
9,2009,1,207,85,1140,3,8,1934
2,3936,0,315,1525,2302,0,3,2000
5,1195,0,846,156,2429,0,7,1980
9,966,0,333,839,752,2,3,2003
8,3754,1,934,787,481,3,11,1921
10,1177,0,538,560,1454,3,2,1950
7,2958,3,96,1182,2060,0,10,1961
1,836,3,212,759,2048,3,7,1915
8,1910,1,387,1430,228,2,3,2015
3,3242,1,597,689,1547,2,8,2012
1,893,2,378,1760,357,3,4,1934
3,3813,2,1003,1488,553,1,6,1951
1,1069,3,712,1717,506,1,11,1936
10,3950,0,1056,220,1672,3,9,1942
4,3706,0,561,1571,510,2,2,2017
2,3829,2,721,575,2449,2,6,2017
2,2661,3,904,1744,892,2,11,1979
4,1779,2,127,1821,993,2,2,1914
3,2323,1,110,1440,2033,0,8,1905
9,654,2,1063,70,2958,2,5,1926
7,2994,1,434,1538,2796,0,3,1993
5,1459,1,467,1417,2509,3,7,2002
5,1327,3,960,1064,1217,1,2,1903
4,1185,1,1018,1019,2961,3,11,1907
4,3165,1,821,1612,1898,0,9,1990
5,1898,1,937,1744,2497,0,7,1959
10,1741,0,271,1324,745,3,9,1978
8,3408,2,894,1203,2076,3,11,2002
1,3836,3,13,1628,1115,2,3,2005
6,2451,2,1132,1169,224,3,4,2006
3,2993,2,126,1178,2279,1,3,1995
7,1782,3,484,1434,2520,3,9,1918
4,2812,3,1110,722,136,2,2,1933
7,3735,3,549,478,1566,2,9,1977
9,2356,3,923,300,370,0,7,1998
10,1130,2,1074,1553,281,2,5,1921
4,1327,2,123,1737,2464,3,6,2025
4,3972,3,165,871,2705,1,5,1983
5,3884,1,307,1609,881,2,10,1925
6,3477,0,505,1807,230,2,10,1933
10,3658,3,682,1500,1199,0,9,1928
2,2781,3,1195,1661,537,2,6,1985
2,660,0,165,1411,889,2,3,1921
8,2418,0,32,540,730,3,10,1958
3,1143,0,754,256,1363,3,2,1988
3,3382,3,291,1824,575,1,10,2011
2,2880,1,525,972,1032,3,8,1913
8,675,3,56,1399,2885,0,8,1941
8,3318,2,209,1186,45,1,3,1937
1,1827,0,321,465,1994,1,11,1906
7,1318,2,225,213,1355,0,9,1994
6,747,0,157,1277,2009,2,8,1958
9,2235,3,301,1319,1783,3,7,1948
7,786,3,173,798,203,2,7,1915
1,3677,0,989,471,1021,0,9,2001
10,1149,0,854,1361,265,2,3,1953
9,698,0,533,429,2669,0,8,1956
7,1360,3,213,725,2379,3,3,2020
8,2496,0,647,1966,1856,0,9,1992
4,3178,0,688,951,988,2,11,1924
9,991,2,835,1464,541,3,9,1993
7,3588,2,649,1604,1482,0,10,1963
1,3096,1,787,1052,599,2,8,1905
6,2126,2,1056,1297,1064,1,10,1913
7,2381,1,844,578,1543,3,10,1908
4,1923,1,951,557,1093,3,5,1985
1,1000,2,406,803,934,3,5,2004
4,2591,3,1147,510,1725,2,5,1988
4,3993,1,387,18,1928,3,4,1988
1,2389,0,1001,693,1295,2,10,1946
1,771,1,672,22,931,0,6,1956
3,605,3,932,1390,601,1,9,1931
4,3029,0,871,158,2037,1,5,1951
2,1013,2,565,690,2945,2,10,1930
5,3912,2,192,416,1018,0,5,2007
9,3929,2,769,764,842,0,10,1952
10,593,0,1009,370,2128,1,7,1920
6,2711,3,607,1750,623,3,8,2021
8,2430,2,487,923,2173,1,10,1968
3,2394,0,191,1723,2855,1,5,1941
2,2108,2,336,1233,195,2,10,1971
5,836,0,984,837,1271,1,2,1938
8,2826,2,976,1759,897,2,8,2001
2,2599,1,843,976,2679,2,3,2024
4,3763,2,1074,234,11,3,3,2025
9,3503,1,277,442,320,2,9,1930
7,2232,0,122,657,138,3,7,1946
